gene_sz_lastname;gene_sz_firstname;country;gene_i_birthdate;gene_i_size;gene_i_weight;charac_i_plain;charac_i_mountain;charac_i_downhilling;charac_i_cobble;charac_i_timetrial;charac_i_prologue;charac_i_sprint;charac_i_acceleration;charac_i_endurance;charac_i_resistance;charac_i_recuperation;charac_i_hill;charac_i_baroudeur
Barta;Will;United States;19960104;175;61;68;73;66;60;76;77;62;65;67;72;70;72;71
O'Donell;Philip;United States;19960518;0;0;65;61;67;61;63;64;65;61;60;62;60;63;65
Gaday;Lucas Manuel;Argentina;19930220;174;67;66;60;65;61;60;60;70;68;65;65;61;62;65
Gasparrini;Rino;Italy;19920408;166;66;67;60;66;60;63;63;69;69;64;65;64;62;63
Nardelli;Stefano;Italy;19931129;178;61;64;64;65;60;60;60;60;66;62;62;61;65;68
Plebani;Davide;Italy;19960724;184;77;61;60;67;61;61;60;64;63;60;60;60;61;62
Rota;Lorenzo;Italy;19950523;172;59;71;73;74;64;63;64;68;73;76;74;67;78;71
Trillini;Sebastian Martin;Argentina;19940416;180;70;61;62;70;60;61;60;60;60;61;62;60;60;68
Bevin;Patrick;New Zealand;19910502;180;75;74;72;66;62;79;79;75;76;67;76;75;75;67
Cooper;Joseph;New Zealand;19851227;0;0;73;66;73;60;68;71;67;73;70;72;67;70;78
Davison;Tom;New Zealand;19900105;175;68;64;67;66;61;63;65;61;60;61;63;66;66;61
Dyball;Benjamin;Australia;19890420;183;63;70;73;70;60;71;70;64;68;70;71;69;72;68
Giacoppo;Anthony;Australia;19860513;176;68;70;64;67;63;66;71;69;71;65;65;66;69;68
Gough;Fraser;New Zealand;19930209;193;67;63;60;71;63;64;67;61;60;60;63;61;60;64
Gough;Regan;New Zealand;19961006;182;69;66;60;66;62;68;66;67;66;63;66;60;60;67
Gunman;Taylor;New Zealand;19910314;180;70;66;65;68;60;67;68;60;62;63;65;66;64;66
Mudgway;Luke;New Zealand;19960612;170;62;72;62;69;69;65;66;69;71;65;70;66;67;70
Van Der Ploeg;Neil;Australia;19870923;187;77;69;62;65;64;64;69;70;69;68;67;64;66;62
Alaphilippe;Bryan;France;19950817;0;0;66;60;61;60;60;60;69;70;60;60;60;60;60
Armirail;Bruno;France;19940411;190;69;74;73;70;62;75;74;63;67;73;75;73;75;76
Barbas;Yoann;France;19881024;0;0;61;68;70;60;60;60;60;67;62;62;65;67;60
Bodiot;Alexis;France;19880503;0;0;69;61;60;63;60;63;70;70;65;66;61;63;67
Canal;Fabien;France;19890404;0;0;64;65;76;64;64;66;60;64;60;61;60;65;61
Braet;Vinnie;Belgium;19910812;0;0;67;61;67;64;61;62;62;61;65;66;63;63;64
De Boeck;Vincent;Belgium;19930614;0;0;61;70;60;61;60;61;61;63;60;60;68;68;72
Donders;Jelle;Belgium;19930618;0;0;69;61;67;65;60;63;71;69;67;67;61;65;60
Kremer;Aron;Netherlands;19890504;0;0;68;60;65;63;61;62;60;60;60;60;62;61;68
Van Couter;Stein;Belgium;19901024;0;0;61;60;63;62;60;64;60;60;60;60;62;60;61
Van de Maele;Glenn;Belgium;19900906;0;0;61;60;62;60;60;60;60;60;60;61;60;61;65
Van Der Meer;Nick;Netherlands;19930725;190;82;68;60;62;62;60;62;72;69;65;66;61;60;64
Van Opstal;Thomas;Belgium;19950420;0;0;60;61;62;60;60;60;61;63;60;60;63;60;71
Combaud;Romain;France;19910401;175;63;71;71;69;63;63;64;68;75;72;72;65;75;75
Guyot;Yann;France;19860226;0;0;68;63;70;62;64;65;65;69;65;65;66;69;67
Le Roux;Romain;France;19920703;173;59;67;63;62;62;61;61;64;65;65;65;61;69;74
Lebreton;Kévin;France;19931030;0;0;64;62;65;60;60;60;60;60;60;60;60;63;76
Levasseur;Jordan;France;19950529;178;74;67;60;61;60;66;65;68;71;61;64;65;68;73
Mainard;Jérôme;France;19860825;0;0;69;64;66;60;66;66;62;66;62;62;67;67;67
Pacher;Quentin;France;19920106;179;62;72;73;69;60;63;65;72;75;73;74;69;77;74
Raibaud;Jimmy;France;19911113;0;0;67;61;67;60;60;61;69;71;63;61;63;66;64
Thomas;Benjamin;France;19950912;179;68;75;67;65;65;75;76;70;73;70;76;68;75;77
Goeree;Niels;Netherlands;19950117;185;73;64;60;67;63;60;63;60;62;60;60;60;60;65
Goeree;Rick;Netherlands;19950117;187;79;65;60;65;64;60;60;60;60;60;60;60;60;63
Krul;Stef;Netherlands;19950715;186;68;67;61;66;61;64;63;68;67;64;70;64;65;72
Leten;Wouter;Belgium;19940111;178;73;65;60;66;60;60;60;60;61;60;60;60;60;74
Riesebeek;Oscar;Netherlands;19921223;191;78;76;68;65;71;70;73;67;69;75;75;69;74;76
Van Der Zwet;Arno;Netherlands;19860507;193;77;69;60;65;61;66;67;64;65;61;63;64;60;68
Wolsink;Jelle;Netherlands;19951111;185;75;65;60;63;60;60;60;65;66;61;61;60;61;64
Seye;Guillaume;Belgium;19961128;188;77;66;60;64;63;68;66;62;65;64;65;61;63;63
Clements;Christopher;United States;19891022;0;0;60;60;61;60;60;60;60;60;60;60;60;61;67
Dodge;Cameron;United States;19911010;0;0;60;60;71;60;60;60;60;60;60;60;60;60;67
Hoke;Mitchell;United States;19880112;0;0;60;61;71;61;60;60;60;60;60;60;60;62;60
Kukolla;Joseph;United States;19890730;0;0;60;60;62;60;60;60;60;60;60;60;60;61;68
Werner;Kerry;United States;19910327;0;0;60;61;71;60;60;63;60;61;60;60;60;61;74
White;Curtis;United States;19950928;185;70;65;60;72;64;61;66;60;64;60;62;60;62;63
Young;Eric;United States;19890226;0;0;68;60;65;60;60;65;73;73;64;67;67;62;61
Benta;Joao;Portugal;19861221;179;60;69;72;72;60;63;65;66;72;66;71;70;71;71
Evangelista;Andre;Portugal;19960131;175;66;63;62;64;60;60;60;60;62;63;62;63;63;64
García De Mateos;Vicente;Spain;19880919;180;68;71;70;71;60;68;68;69;73;69;73;68;74;66
Jorge;Iuri;Portugal;19910519;0;0;61;60;66;60;60;60;60;62;60;60;60;60;70
Mestre;Dominic;Portugal;19930529;0;0;60;60;60;60;60;60;60;60;60;60;60;60;61
Valinho;Victor;Portugal;19911231;0;0;60;60;67;62;60;63;61;60;60;60;60;61;60
Berry;Josh;Australia;19900905;0;0;60;60;61;60;63;62;60;62;60;62;62;60;61
Juel;Kristian;Denmark;19920205;0;0;63;60;70;60;60;60;60;60;60;60;60;60;64
Mulhern;Mitchell;Australia;19910122;190;75;60;60;63;60;61;61;60;60;60;60;60;60;63
Simpson;Myron;New Zealand;19900730;0;0;60;63;64;60;60;65;60;60;61;62;60;60;66
Sunderland;Scott;Australia;19880316;180;0;68;60;66;60;63;70;71;72;63;69;63;63;60
Talbot;Brodie;Australia;19890213;0;0;60;62;70;60;64;61;60;60;61;60;61;60;60
Malucelli;Matteo;Italy;19931020;171;68;71;62;65;60;63;64;76;75;64;69;65;67;65
Spreafico;Matteo;Italy;19930215;184;69;68;66;62;63;65;62;63;67;65;67;66;68;64
Tizza;Marco;Italy;19920206;173;58;69;67;70;63;62;63;70;73;70;72;65;74;69
Kragh Andersen;Søren;Denmark;19940810;178;73;81;72;75;76;77;79;73;74;79;81;80;75;80
Gregaard;Jonas;Denmark;19960730;186;66;71;72;71;60;62;64;68;71;72;73;69;73;74
Hardahl;Anders;Denmark;19960503;178;64;66;60;70;60;64;64;60;61;60;61;61;60;67
Hyldgaard;Andreas;Denmark;19960721;183;66;67;61;67;62;61;62;67;69;65;65;63;65;61
Olsson;Michael;Sweden;19860304;173;60;68;67;68;62;62;65;60;60;63;65;64;70;62
Rahbek;Mads;Denmark;19951019;180;66;70;67;67;62;70;68;67;71;70;71;70;72;74
Riis;Thomas Nybo;Denmark;19920831;189;71;64;60;62;60;60;60;63;60;60;60;60;62;60
Baldi;Francesco;Italy;19960214;0;0;60;60;61;60;60;60;60;60;60;60;60;60;62
Campello;Gabriele;Italy;19941118;0;0;62;60;65;60;60;62;60;60;60;60;60;60;60
Capocchi;Thomas;Italy;19930406;0;0;64;60;67;62;60;60;61;60;60;60;63;60;63
Estrada;Eduardo;Colombia;19950125;184;67;65;62;65;60;62;62;61;63;65;63;62;64;63
Leone;Davide;Italy;19961008;0;0;61;60;62;60;60;60;62;61;60;60;60;60;70
Nika;Iltjan;Albania;19950323;0;0;65;61;64;60;61;61;66;67;63;64;63;63;63
Poletti;Nicola;Italy;19940801;0;0;61;60;71;60;60;63;63;63;60;60;60;60;71
Schinnagel;Johannes;Germany;19960925;188;68;66;66;68;60;63;65;66;67;65;65;67;68;69
Huber;Marcel;Austria;19960910;185;63;60;62;62;60;60;60;60;62;60;60;60;64;62
Gogl;Michael;Austria;19931104;186;70;75;71;81;72;68;67;70;72;74;76;70;76;75
Al Naqby;Khamis;United Arab Emirates;19860909;169;73;61;62;60;60;60;60;60;60;60;60;60;60;66
Albalooshi;Ahmed;United Arab Emirates;19891029;172;71;60;60;62;60;60;60;62;60;60;60;60;60;60
Ali Thani;Mansoor;United Arab Emirates;19880501;186;79;60;60;62;60;60;60;60;60;60;60;60;60;60
Alhammadi;Sultan;United Arab Emirates;19930815;172;60;60;62;63;60;60;63;60;60;60;60;60;60;60
Kucher;Michael;Austria;19930326;0;0;61;60;65;60;60;60;60;60;60;60;60;60;71
Meiler;Lukas;Germany;19950214;0;0;66;65;65;60;61;69;62;66;63;64;64;67;72
Yamamura;Akinori;Japan;19940804;165;62;60;62;65;60;60;62;60;61;60;60;60;60;74
Georgiev;Nako;Bulgaria;19950513;185;73;63;61;61;60;60;60;60;60;60;60;60;63;63
Ilyasov;Ismayil;Azerbaijan;19940802;0;0;60;60;61;60;60;60;61;60;60;60;60;60;60
Asanov;Enver;Azerbaijan;19941025;0;0;60;60;62;60;60;60;60;60;60;60;60;60;60
Gonzalez;Oscar;Spain;19920228;175;62;61;66;64;60;63;64;60;64;60;62;64;65;63
Marque;Alejandro;Spain;19811023;182;68;68;70;71;60;70;69;66;69;66;68;68;71;74
Santos;Diogo;Portugal;19931020;0;0;61;60;61;60;60;60;60;60;60;60;60;60;63
Mørkøv;Jesper;Denmark;19880311;183;65;66;60;67;61;60;61;60;60;60;60;61;60;61
Moscon;Gianni;Italy;19940420;182;70;77;74;72;78;75;74;70;75;78;79;76;76;77
Baška;Erik;Slovakia;19941012;182;74;71;61;65;64;70;71;75;75;66;72;64;67;66
Bouhanni;Rayane;France;19960224;185;70;67;64;64;60;63;62;68;70;62;64;63;66;64
Cuadros;Álvaro;Spain;19950412;179;67;65;70;67;60;61;62;61;69;65;66;68;68;75
García Cortina;Iván;Spain;19951120;183;77;78;66;69;77;71;72;76;77;76;78;77;74;79
Lehky;Roman;Czech Republic;19960630;182;68;61;60;60;60;66;67;60;60;60;60;60;60;75
Schlegel;Michal;Czech Republic;19950531;184;72;69;73;69;62;68;67;64;66;68;70;71;73;70
Frolov;Igor;Russia;19900123;174;63;68;61;64;60;60;63;62;61;64;68;62;64;63
Mamykin;Matvey;Russia;19941031;179;62;65;67;64;60;62;61;69;63;65;66;67;65;70
Nikolaev;Sergey;Russia;19880205;173;66;67;66;66;63;68;68;66;69;66;69;65;69;67
Cras;Steff;Belgium;19960213;183;65;72;76;68;62;65;67;63;72;72;74;71;76;68
De Plus;Laurens;Belgium;19950904;189;67;74;74;68;72;75;74;63;68;73;76;73;76;74
Frison;Frederik;Belgium;19920728;194;79;77;63;61;73;74;74;67;65;73;75;68;69;68
Geuens;Alexander;Belgium;19940905;179;71;64;60;60;63;60;60;65;65;60;60;69;63;71
Leysen;Senne;Belgium;19960318;190;75;72;65;62;68;72;71;64;66;69;71;64;70;69
Menten;Milan;Belgium;19961031;174;68;74;65;66;72;60;63;73;74;72;73;67;73;65
Planckaert;Emiel;Belgium;19961022;183;69;66;62;66;62;60;60;67;67;64;65;62;66;69
Van Gestel;Dries;Belgium;19940930;187;71;76;64;69;76;61;63;72;72;76;75;64;73;74
Van Gompel;Mathias;Belgium;19950924;180;66;66;63;66;64;63;63;67;66;64;65;63;66;66
Van Rooy;Kenneth;Belgium;19931008;178;70;74;65;69;72;61;64;72;72;73;72;70;71;71
Vanreyten;Joachim;Belgium;19940831;177;69;66;60;65;65;63;64;62;66;63;61;67;65;66
Verwilst;Dieter;Belgium;19950227;186;77;63;60;66;63;60;60;61;65;60;60;60;60;63
Bohli;Tom;Switzerland;19940117;183;71;73;60;63;68;70;74;66;68;66;73;65;68;69
Eisenhart;Taylor;United States;19940614;0;0;69;71;70;60;69;67;66;68;64;68;69;70;68
Hemroulle;Johan;Belgium;19950805;0;0;64;60;70;61;60;60;64;63;60;60;61;61;66
Schir;Théry;Switzerland;19930218;0;0;67;61;65;60;71;72;69;71;63;62;65;66;69
Tietema;Bas;Netherlands;19950129;185;74;66;60;71;66;62;63;65;62;63;64;60;60;68
Van Hooydonck;Nathan;Belgium;19951012;193;78;77;67;68;77;73;76;67;70;75;76;69;72;72
Vermeulen;Alexey;United States;19941216;178;62;68;70;66;60;66;67;64;66;67;68;64;70;67
Bidard;François;France;19920319;180;65;71;75;66;62;62;61;65;71;67;72;72;72;75
Cosnefroy;Benoît;France;19941017;179;64;76;72;74;69;68;71;72;77;76;78;69;81;78
Denz;Nico;Germany;19940215;183;71;75;71;79;72;74;72;72;72;72;75;71;70;78
Lafay;Victor;France;19960117;177;65;71;75;71;62;64;63;62;74;71;73;70;76;76
Ovett;Freddy;Australia;19940116;184;64;67;69;66;60;62;66;64;68;65;67;63;68;68
Peters;Nans;France;19940312;177;72;74;75;73;66;66;68;64;69;72;76;71;75;76
Pigeon;Hugo;France;19960915;175;59;62;60;74;63;60;62;60;64;60;60;60;63;70
Rochas;Rémy;France;19960518;165;50;71;75;68;63;65;66;61;73;68;72;74;74;73
Roux;Julien;France;19950121;0;0;62;62;67;61;60;60;60;65;60;62;60;67;73
Tournieroux;Victor;France;19950512;177;63;62;60;67;61;60;61;60;62;60;60;60;65;65
Bouchereau;Loïc;France;19940531;0;0;61;66;70;60;60;60;61;63;60;60;60;65;60
Calmejane;Lilian;France;19921206;184;69;73;72;73;68;68;71;70;75;73;75;71;75;77
Cardis;Romain;France;19920812;181;75;73;61;66;69;63;64;73;73;71;71;67;68;64
Cornu;Jérémy;France;19910807;178;66;67;64;68;60;62;64;69;72;65;69;66;70;73
Grellier;Fabien;France;19941031;175;65;69;71;64;63;62;64;63;68;69;71;71;72;74
Krainer;Taruia;France;19910601;182;68;64;60;62;60;60;61;60;63;60;60;61;63;61
Maître;Florian;France;19960903;180;71;65;60;67;64;62;65;64;65;60;60;60;61;63
Ourselin;Paul;France;19940413;185;70;69;68;66;62;63;65;65;69;71;71;71;74;75
Rivière;David;France;19950111;0;0;63;61;61;60;60;60;60;60;60;60;60;63;63
Krieger;Alexander;Germany;19911128;181;73;75;65;72;69;66;70;75;75;74;72;70;72;69
Magalhaes;Samuel;Portugal;19920905;0;0;64;60;68;60;60;60;61;64;60;60;61;64;67
Rodrigues;David;Portugal;19910710;170;60;66;69;68;60;62;64;62;66;66;67;70;67;69
Montgomery;David;Ireland;19950627;174;66;63;60;77;63;60;62;60;63;60;60;61;64;65
Bonnamour;Franck;France;19950620;180;70;75;73;70;64;63;63;71;76;76;75;72;76;78
Pereira;Florent;France;19931019;0;0;65;62;67;62;63;64;62;65;60;60;63;64;65
Edmondson;Alex;Australia;19931222;184;75;75;66;67;72;71;74;72;73;66;74;68;72;72
Arcas;Jorge;Spain;19920708;187;68;72;72;72;68;69;70;67;69;69;73;69;73;69
Pedrero;Antonio;Spain;19911023;177;60;69;77;70;60;64;64;68;69;66;73;72;75;69
Dhaene;Brecht;Belgium;19881121;0;0;68;60;68;63;60;61;60;65;62;64;65;68;69
Martin;Guillaume;France;19930609;173;55;70;79;68;62;68;67;69;76;74;72;70;79;78
Perez;Anthony;France;19910422;190;70;71;74;69;64;72;71;71;74;71;72;71;74;76
Hofstetter;Hugo;France;19940213;170;65;76;63;64;75;62;63;76;77;75;76;76;72;65
Gaviria;Fernando;Colombia;19940819;180;71;76;62;76;71;64;66;80;80;72;76;74;66;66
Zemlyakov;Oleg;Kazakhstan;19930707;0;0;64;64;65;60;61;62;60;62;61;62;65;65;61
Contreras;Rodrigo;Colombia;19940602;180;68;68;73;69;60;73;71;62;68;65;70;68;70;69
Martinelli;Davide;Italy;19930531;186;71;75;64;76;68;71;70;74;72;67;72;65;67;71
Peters;Alex;United Kingdom;19940331;175;67;66;64;65;60;60;62;67;70;65;66;63;69;67
Bernard;Julien;France;19920317;176;60;71;75;68;64;69;70;69;72;69;73;74;73;76
Restrepo;Jhonatan;Colombia;19941128;178;73;71;70;71;60;64;70;73;76;70;73;70;75;72
Trosino;Mirko;Italy;19921019;0;0;64;60;65;60;60;60;60;60;60;60;60;60;62
Draperi;Matteo;Italy;19910117;0;0;64;61;65;60;60;60;60;60;61;60;63;64;65
Amezqueta;Julen;Spain;19930812;174;63;68;74;65;60;62;62;63;71;68;70;71;74;72
Ducournau;Gilbert;Venezuela;19920925;0;0;63;60;62;60;60;60;60;60;60;60;60;61;63
Rodríguez;Cristián;Spain;19950303;178;56;68;77;63;60;61;61;65;73;68;72;74;74;74
Aitcheson;Liam;New Zealand;19950111;178;72;65;62;65;60;66;67;60;60;60;60;60;65;62
Crome;Sam;Australia;19931216;178;61;68;70;70;60;62;68;66;71;65;70;67;71;68
Lake;Sean;Australia;19911206;184;79;69;62;69;64;69;68;63;68;66;68;62;68;70
O'Connor;Ben;Australia;19951125;188;66;74;80;73;62;74;72;66;72;68;76;75;76;78
Kurbatov;Alexey;Russia;19940509;185;74;66;60;61;60;62;67;64;65;65;66;60;63;66
Rybalkin;Aleksey;Russia;19931116;174;57;64;73;66;60;63;64;61;67;65;69;73;71;69
Shalunov;Evgeny;Russia;19920108;180;70;72;72;69;60;70;67;71;73;66;73;65;74;67
Sveshnikov;Kirill;Russia;19920210;182;70;67;61;65;60;62;66;69;68;64;65;62;64;60
Debesay;Mekseb;Eritrea;19910616;182;64;70;72;69;63;66;67;70;74;65;70;67;73;69
Bernal;Egan;Colombia;19970113;175;60;72;81;75;66;72;71;67;76;73;73;77;76;77
Pacioni;Luca;Italy;19930813;175;67;71;64;65;60;62;67;74;74;65;68;65;69;60
Ciccone;Giulio;Italy;19941220;176;58;69;79;73;65;64;65;65;76;73;73;72;78;78
Maestri;Mirco;Italy;19911026;182;73;73;65;65;63;66;71;68;71;68;73;68;67;81
Velasco;Simone;Italy;19951202;170;59;73;71;64;64;62;63;71;74;74;74;69;77;75
Banaszek;Alan;Poland;19971030;181;75;71;62;63;64;60;60;72;74;65;72;66;66;68
Mrozek;Marcin;Poland;19900226;176;66;65;61;65;60;61;62;60;60;60;60;61;65;66
Lastra;Jonathan;Spain;19930603;172;64;69;73;65;60;63;62;69;73;70;71;69;76;73
Rosón;Jaime;Spain;19930110;178;64;66;73;66;60;60;60;60;66;65;68;69;72;68
Sáez;Héctor;Spain;19931106;185;73;69;71;67;60;61;61;64;71;65;71;69;72;75
Laas;Martin;Estonia;19930915;176;72;74;63;68;63;66;71;75;76;69;74;69;68;66
Omirzakov;Dias;Kazakhstan;19920713;175;68;64;60;65;60;60;61;67;65;60;60;61;61;61
Zakharov;Artyom;Kazakhstan;19911027;179;70;72;67;66;66;66;66;69;71;68;70;65;66;71
Cheung;King Lok;Hong Kong;19920101;172;59;68;65;67;60;69;68;64;66;65;68;63;67;67
Brüngger;Nico;Switzerland;19880211;0;0;64;60;66;60;60;60;60;60;61;61;65;63;63
D’Urbano;Marco;Italy;19910815;0;0;66;60;64;60;60;60;60;64;62;61;66;62;73
Jaun;Lukas;Switzerland;19910729;180;66;67;63;69;62;60;63;65;67;63;63;66;66;68
Marguet;Tristan;Switzerland;19870822;0;0;68;60;71;62;60;60;70;70;62;60;61;60;60
Pasche;Frank;Switzerland;19930319;180;72;65;60;65;62;62;65;60;60;60;60;60;60;61
Stüssi;Colin;Switzerland;19930604;187;68;69;67;68;60;61;64;70;72;68;72;67;71;72
Thalmann;Roland;Switzerland;19930805;178;62;70;73;73;60;65;66;66;70;71;73;69;71;75
Toffali;Nicola;Italy;19921020;186;78;69;67;72;63;62;63;69;71;65;68;65;69;73
Tomio;Giacomo;Italy;19950706;0;0;62;60;61;60;60;60;60;60;60;60;60;60;61
Harper;George;United Kingdom;19920710;0;0;66;63;66;63;63;63;60;60;62;64;66;67;64
Hunt;Joshua;United Kingdom;19910403;0;0;65;60;65;61;61;64;60;60;61;60;60;61;66
McCormick;Hayden;New Zealand;19940101;182;73;72;64;70;70;66;67;67;70;66;69;63;69;69
Smith;Dion;New Zealand;19930303;179;67;73;69;73;72;65;66;73;75;76;75;71;76;69
Williams;Peter;United Kingdom;19861213;177;70;69;62;67;69;66;66;65;68;69;68;64;67;71
Williams;Samuel;United Kingdom;19940318;0;0;64;60;66;61;60;60;60;63;60;61;61;62;66
Bulgarelli;Otavio;Brazil;19841015;0;0;62;60;62;60;60;60;60;62;60;60;60;63;64
Chamorro;Francisco;Argentina;19810708;0;0;66;62;63;60;60;60;71;69;65;68;66;65;61
Nicácio;Pedro;Brazil;19811013;188;72;68;60;65;60;65;66;60;60;61;64;63;63;69
Gaspar;João;Brazil;19920219;0;0;68;65;72;61;60;63;66;71;63;61;66;69;73
Mahler;Nathan;Brazil;19960117;0;0;63;64;63;60;60;60;60;61;60;63;65;65;67
Manarelli;Carlos;Brazil;19890213;0;0;65;63;69;60;60;62;63;67;62;63;66;65;68
Nazaret;Magno Prado;Brazil;19860117;172;65;67;65;66;60;67;67;63;65;65;70;64;68;69
Quirino;Rodrigo;Brazil;19960412;0;0;62;60;64;60;60;60;60;60;60;60;60;60;63
Ramos;Kleber;Brazil;19850824;0;0;66;67;67;60;60;61;64;71;65;67;69;71;67
Silva;Roberto;Brazil;19830109;0;0;66;60;66;60;60;63;67;69;63;63;61;66;65
Evans;Brad;New Zealand;19920508;178;70;69;60;68;61;64;65;67;65;62;64;65;66;72
Scully;Tom;New Zealand;19900114;188;85;74;60;68;71;74;76;70;69;71;74;68;66;68
Kuboki;Kazushige;Japan;19890606;173;68;68;61;64;60;64;65;70;70;65;62;66;68;64
Farazijn;Maxime;Belgium;19940602;183;73;70;60;66;69;60;62;70;71;65;63;61;62;68
De Gendt;Aimé;Belgium;19940617;182;75;76;63;65;75;68;70;68;71;76;75;66;73;77
Jaramillo;Daniel;Colombia;19910115;175;63;67;70;66;60;65;67;66;72;64;66;64;71;74
Magner;Ty;United States;19910503;173;0;68;60;67;60;60;62;69;70;64;67;63;64;66
Drinovec;Matej;Slovenia;19910816;177;64;65;60;69;60;60;60;60;60;60;60;60;63;64
Mesojedec;Matej;Slovenia;19970315;174;65;61;60;70;60;60;60;62;60;60;60;60;60;74
Per;Gorazd;Slovenia;19970305;187;68;66;64;66;61;62;64;67;68;65;67;64;66;67
Beran;Andy;Germany;19970122;181;76;63;60;70;60;60;60;62;60;60;60;60;60;70
Kanter;Max;Germany;19971022;176;68;74;65;63;68;70;72;76;76;68;75;75;68;66
Schormair;Fabian;Germany;19941023;174;64;69;61;67;62;62;64;66;68;66;68;64;67;73
Vinkel;Jesper;Denmark;19960207;196;78;63;60;64;61;60;60;60;60;60;60;60;60;60
Stokbro;Andreas;Denmark;19970804;183;70;72;64;67;68;65;64;72;71;70;70;66;68;66
Kongstad;Tobias;Denmark;19960914;189;72;72;62;70;68;62;64;67;71;71;70;65;69;73
Asgreen;Kasper;Denmark;19950208;192;75;82;71;79;80;81;77;73;72;82;82;78;74;82
Steen;Nicolaj;Denmark;19950104;179;64;66;60;61;61;63;64;60;60;60;60;61;63;62
Larsen;Niklas;Denmark;19970322;180;74;75;64;69;65;71;70;73;72;70;75;64;69;70
Eg;Niklas;Denmark;19950106;183;61;67;75;72;60;65;64;63;73;65;69;70;72;66
Dotti;Ottavio;Italy;19970627;175;63;66;60;63;60;60;60;68;69;60;60;60;63;68
Viel;Mattia;Italy;19950422;180;72;66;60;61;60;60;63;68;67;63;66;64;63;60
Ravanelli;Simone;Italy;19950704;178;66;69;71;76;60;64;62;68;74;70;72;71;74;75
Salvador;Enrico;Italy;19941130;179;65;66;66;70;60;60;63;60;68;65;63;61;69;70
Cacciotti;Andrea;Italy;19961119;184;65;60;60;64;63;61;60;60;60;60;60;60;60;76
Molteni;Marco;Italy;19961010;178;66;61;60;61;60;60;60;60;60;60;60;60;60;65
Ferasse;Thibault;France;19940912;168;61;71;65;68;60;60;62;70;74;72;72;64;73;73
Katzmayer;Daniel;Austria;19970225;0;0;62;60;67;60;60;61;60;60;60;60;60;65;74
Neuhauser;Marcel;Austria;19970211;180;63;65;66;66;60;60;61;63;65;64;65;66;67;66
Gamper;Patrick;Austria;19970218;192;81;75;64;68;69;72;69;62;65;73;74;66;68;72
Zurita;Francesc;Spain;19920110;173;67;66;62;67;60;60;61;69;70;64;63;62;65;60
Spanopoulos;Ioannis;Greece;19930520;0;0;62;60;64;61;61;62;60;60;60;60;61;60;60
Mertens;Robin;Belgium;19911108;0;0;64;60;64;61;60;60;67;65;61;60;61;60;63
Lennertz;Sam;Belgium;19900903;0;0;64;60;66;62;60;60;60;62;60;60;60;60;66
Vanderaerden;Massimo;Belgium;19950121;0;0;62;60;65;62;60;60;60;62;60;60;60;60;63
Breyne;Jonathan;Belgium;19910104;0;0;66;60;62;63;60;64;64;68;62;62;65;61;66
Dechesne;Julien;Belgium;19910410;0;0;64;60;66;60;60;60;60;62;60;60;60;61;61
Bero;Wallace;Belgium;19970221;0;0;62;61;63;61;60;60;60;60;60;60;60;63;65
De Winter;Gordon;Belgium;19970606;0;0;64;60;67;64;60;61;61;66;60;60;60;60;63
Mortier;Julien;Belgium;19970720;183;66;71;63;64;67;63;63;67;70;69;68;63;71;67
Tasset;Marvin;Belgium;19971016;184;63;66;62;66;62;60;61;63;66;65;64;63;67;63
Nömmela;Aksel;Estonia;19941022;176;69;73;60;71;71;61;62;73;72;72;73;66;70;65
Brown;Jonathan;United States;19970420;178;0;66;61;62;65;63;61;62;64;62;65;62;63;66
Dunbar;Edward;Ireland;19960901;170;57;72;75;68;67;73;71;67;73;69;73;71;76;73
Neilands;Krists;Latvia;19940818;189;69;73;72;72;65;69;70;71;74;75;75;66;77;75
Joyce;Colin;United States;19940806;178;0;71;66;66;65;68;71;73;72;68;71;72;72;68
Powless;Neilson;United States;19960903;183;67;75;76;70;64;73;72;71;74;77;76;72;78;78
McLaughlin;James;United Kingdom;19901002;0;0;71;60;71;63;60;60;61;60;62;62;61;60;73
Steimle;Jannik;Germany;19960404;187;73;74;64;70;71;72;80;75;76;68;74;75;71;68
Weber;Johannes;Germany;19940730;0;0;62;64;69;61;60;60;60;68;62;60;62;67;60
Zimmermann;Georg;Germany;19971011;180;70;72;73;68;64;64;66;70;76;73;74;73;75;75
Auer;Daniel;Austria;19941026;183;73;73;62;70;65;62;66;71;71;66;73;63;68;74
López;Daniel;Spain;19940121;0;0;68;60;66;65;60;61;71;72;64;65;65;67;64
Buru;Temesgen;Ethiopia;19941116;0;0;67;60;63;60;60;60;68;67;60;60;60;60;71
Halvorsen;Kristoffer;Norway;19960413;179;69;73;60;67;71;62;62;75;75;71;73;67;69;62
Hoelgaard;Markus;Norway;19941004;187;74;78;71;72;73;64;63;68;71;78;77;72;77;75
Forfang;Ole;Norway;19950322;0;0;70;63;68;66;63;64;68;69;68;67;64;69;72
Lawless;Christopher;United Kingdom;19951104;178;72;74;61;60;66;62;67;74;74;71;74;64;70;68
Williams;Stephen;United Kingdom;19960609;183;59;73;74;74;61;65;63;70;74;69;73;69;73;72
Shaw;Damien;Ireland;19840110;178;78;64;62;70;60;60;60;60;63;60;60;60;60;60
Stewart;Daniel;Ireland;19941124;180;69;67;60;70;60;60;60;60;60;60;60;60;60;65
